20210225-13:59:48.383 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.2 VDC
20210225-13:59:48.384 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38176
20210225-13:59:48.384 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.384 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 0
20210225-13:59:48.384 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 430
20210225-13:59:48.384 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 2
20210225-13:59:48.384 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 24/02/2021 23:22:00 [UTC]
20210225-13:59:48.385 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.2 VDC
20210225-13:59:48.385 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38176
20210225-13:59:48.385 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.385 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 430
20210225-13:59:48.385 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 0
20210225-13:59:48.385 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 0
20210225-13:59:48.386 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 24/02/2021 23:22:04 [UTC]
20210225-13:59:48.386 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.2 VDC
20210225-13:59:48.386 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38176
20210225-13:59:48.386 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.386 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 0
20210225-13:59:48.386 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 430
20210225-13:59:48.386 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 2
20210225-13:59:48.386 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 24/02/2021 23:28:13 [UTC]
20210225-13:59:48.386 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.2 VDC
20210225-13:59:48.387 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38176
20210225-13:59:48.387 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.387 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 430
20210225-13:59:48.387 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 0
20210225-13:59:48.387 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 0
20210225-13:59:48.387 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 24/02/2021 23:28:16 [UTC]
20210225-13:59:48.387 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.2 VDC
20210225-13:59:48.387 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38176
20210225-13:59:48.387 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.387 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 0
20210225-13:59:48.388 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 430
20210225-13:59:48.388 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 2
20210225-13:59:48.388 [etscrape] [DEBUG   ] Adding event: IMPACT, occurred: 24/02/2021 23:28:25 [UTC]
20210225-13:59:48.388 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.1 VDC
20210225-13:59:48.388 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38176
20210225-13:59:48.388 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.388 [etscrape] [DEBUG   ] Adding event detail: Forward G, value: 1.0
20210225-13:59:48.388 [etscrape] [DEBUG   ] Adding event detail: Reverse G, value: 0.0
20210225-13:59:48.388 [etscrape] [DEBUG   ] Adding event detail: Left G, value: 0.0
20210225-13:59:48.388 [etscrape] [DEBUG   ] Adding event detail: Right G, value: 0.0
20210225-13:59:48.389 [etscrape] [DEBUG   ] Adding event detail: Max G (1), value: 1.0
20210225-13:59:48.389 [etscrape] [DEBUG   ] Adding event detail: Max G (2), value: 0.0
20210225-13:59:48.389 [etscrape] [DEBUG   ] Adding event detail: Severity, value: Low
20210225-13:59:48.389 [etscrape] [DEBUG   ] Adding event: REPORT, occurred: 24/02/2021 23:32:06 [UTC]
20210225-13:59:48.389 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38176
20210225-13:59:48.389 [etscrape] [DEBUG   ] Adding event detail: Report Speed, value: 0
20210225-13:59:48.389 [etscrape] [DEBUG   ] Adding event detail: Direction, value: 42
20210225-13:59:48.389 [etscrape] [DEBUG   ] Adding event: XSIDLESTART, occurred: 24/02/2021 23:33:26 [UTC]
20210225-13:59:48.389 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.1 VDC
20210225-13:59:48.390 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38176
20210225-13:59:48.390 [etscrape] [DEBUG   ] Adding event: XSIDLE, occurred: 24/02/2021 23:34:07 [UTC]
20210225-13:59:48.390 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.2 VDC
20210225-13:59:48.390 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38176
20210225-13:59:48.390 [etscrape] [DEBUG   ] Adding event detail: Max Idle Time, value: 0:05:40
20210225-13:59:48.390 [etscrape] [DEBUG   ] Adding event detail: Max Idle Reason, value: 0
20210225-13:59:48.390 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 24/02/2021 23:34:42 [UTC]
20210225-13:59:48.390 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.2 VDC
20210225-13:59:48.391 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38176
20210225-13:59:48.391 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.391 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 430
20210225-13:59:48.391 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 0
20210225-13:59:48.391 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 0
20210225-13:59:48.391 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 24/02/2021 23:35:43 [UTC]
20210225-13:59:48.391 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.2 VDC
20210225-13:59:48.391 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38176
20210225-13:59:48.391 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.391 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 0
20210225-13:59:48.392 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 430
20210225-13:59:48.392 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 2
20210225-13:59:48.392 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 24/02/2021 23:39:02 [UTC]
20210225-13:59:48.392 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.2 VDC
20210225-13:59:48.392 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38176
20210225-13:59:48.392 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.392 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 430
20210225-13:59:48.392 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 0
20210225-13:59:48.392 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 0
20210225-13:59:48.392 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 24/02/2021 23:39:15 [UTC]
20210225-13:59:48.393 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.1 VDC
20210225-13:59:48.393 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38176
20210225-13:59:48.393 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.393 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 0
20210225-13:59:48.393 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 430
20210225-13:59:48.393 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 2
